Station,Latitude,Longitude,Line,Colour,Distance,Extra,,,,,,
Bank,51.5134047,-0.08905843,Northern,Black,1.838564841,,,,,,,
Belsize Park,51.55036,-0.16465,Northern,Black,5.44477566,,,,,,,
Borough,51.50095,-0.09446,Northern,Black,1.914190032,,,,,,,
Brent Cross,51.57693,-0.21414,Northern,Black,9.923095462,,,,,,,
Burnt Oak,51.603,-0.26427,Northern,Black,14.41874623,,,,,,,
Camden Town,51.5393,-0.14316,Northern,Black,3.578173234,,,,,,,
Chalk Farm,51.5439,-0.15384,Northern,Black,4.419095808,,,,,,,
Charing Cross,51.507108,-0.122963,Northern,Black,0.75552817,,,,,,,
Clapham Common,51.46156,-0.13802,Northern,Black,5.83045328,,,,,,,
Clapham North,51.46522,-0.1295,Northern,Black,5.30075776,,,,,,,
Clapham South,51.45292257,-0.147562148,Northern,Black,6.942897911,,,,,,,
Colindale,51.59556,-0.24996,Northern,Black,13.1342475,,,,,,,
Colliers Wood,51.41823649,-0.17800983,Northern,Black,11.29782472,,,,,,,
East Finchley,51.58729747,-0.164956323,Northern,Black,9.033524238,,,,,,,
Edgware,51.61385,-0.27515,Northern,Black,15.80351411,,,,,,,
Elephant & Castle,51.49467,-0.10047,Northern,Black,2.200302235,,,,,,,
Embankment,51.50717,-0.12195,Northern,Black,0.704374924,,,,,,,
Euston,51.52774,-0.13303,Northern,Black,2.119304855,,,,,,,
Finchley Central,51.60102,-0.1924,Northern,Black,11.22551903,,,,,,,
Golders Green,51.57249,-0.1941,Northern,Black,8.638186471,,,,,,,
Goodge Street,51.5206,-0.13441,Northern,Black,1.612256495,,,,,,,
Hampstead,51.55645,-0.17851,Northern,Black,6.580067169,,,,,,,
Hendon Central,51.58346,-0.22653,Northern,Black,11.0396748,,,,,,,
High Barnet,51.6506519,-0.194138166,Northern,Black,16.33623806,,,,,,,
Highgate,51.57722,-0.14553,Northern,Black,7.53294807,,,,,,,
Kennington,51.48823,-0.10587,Northern,Black,2.736512025,,,,,,,
Kentish Town,51.55046,-0.14067,Northern,Black,4.606795784,,,,,,,
King's Cross St.Pancras,51.53057,-0.12399,Northern,Black,2.136161838,,,,,,,
Leicester Square,51.51148,-0.12849,Northern,Black,0.898546272,,,,,,,
London Bridge,51.505353,-0.084826,Northern,Black,2.254041324,,,,,,,
Mill Hill East,51.60892,-0.20965,Northern,Black,12.57953869,,,,,,,
Moorgate,51.51817,-0.08859,Northern,Black,1.983755569,,,,,,,
Morden,51.40222413,-0.194599126,Northern,Black,13.38847712,,,,,,,
Mornington Crescent,51.53427,-0.13901,Northern,Black,2.952547466,,,,,,,
Nine Elms,51.480001,-0.128501,Northern,Black,3.679380649,,,,,,,
Old Street,51.52618,-0.08751,Northern,Black,2.493226743,,,,,,,
Oval,51.48214,-0.11284,Northern,Black,3.335762543,,,,,,,
South Wimbledon,51.41543048,-0.192262754,Northern,Black,11.99051161,,,,,,,
Stockwell,51.47224,-0.1227,Northern,Black,4.458956425,,,,,,,
Tooting Bec,51.43578971,-0.159635693,Northern,Black,9.017293054,,,,,,,
Tooting Broadway,51.42780008,-0.167910811,Northern,Black,10.05024427,,,,,,,
Tottenham Court Road,51.51672074,-0.13093911,Northern,Black,1.183199945,,,,,,,
Totteridge & Whetstone,51.63022,-0.17917,Northern,Black,13.85177112,,,,,,,
Tufnell Park,51.55663,-0.13813,Northern,Black,5.192981254,,,,,,,
Warren Street,51.5245,-0.1381,Northern,Black,2.08317598,,,,,,,
Waterloo,51.50322,-0.11328,Northern,Black,0.998876445,,,,,,,
West Finchley,51.60922281,-0.188711152,Northern,Black,11.92614874,,,,,,,
Woodside Park,51.61817173,-0.185578888,Northern,Black,12.75027753,,,,,,,
Acton Central,51.50883531,-0.263033174,Overground,Orange,10.21341501,,,,,,,
